X,Y,OBJECTID,Name
35.2038118131117,33.2705522900397,"1",Tyros
35.6923344436375,33.2463127051682,"2",Caesarea Philippi
36.3062688668585,33.5116967908947,"3",Damaskus
35.3692556059386,33.557937122012,"4",Sidon
35.0692551774242,32.9220306948675,"5",Akko-Ptolemais
36.6182302300859,32.7542320941755,"6",Kanatha
36.1057585446252,32.6253405027839,"7",Adraa
36.4817227327201,32.5177071693779,"8",Bostra
35.7937610978955,31.7183969542911,"9",Madaba
36.6280404084744,32.8564472478833,"10",Philippopolis
35.2316989916338,31.7788278521634,"11",Jerusalem
35.2613340500946,32.2215091505638,"12",Neapolis
35.192580239727,32.2768863163225,"13",Sebaste
34.8914704599516,32.4986828594896,"14",Caesarea Maritima
34.9158030326615,32.6164749758074,"15",Dora
35.5413213254159,32.7920360033754,"16",Tiberias
35.2819078680213,32.7516158818433,"17",Sepphoris
34.9301386995172,32.1050155017062,"18",Antipatris
34.8059982079269,32.1942667599335,"19",Apollonia
34.890780325135,31.9511188482413,"20",Diospolis
34.8937670326882,31.6079765062941,"21",Eleutheropolis
35.8091499011388,31.8006073996184,"22",Hesbon
35.89167737707,32.2793061801127,"23",Gerasa
35.6786785671254,32.6555359728944,"24",Gadara
35.6600135478693,32.7789360382076,"25",Hippos
36.0143478760133,32.7432738502621,"26",Dion
35.8694521222827,32.6809939798938,"27",Abila
35.858381384479,32.5985523912944,"28",Capitolias
35.502306985131,32.5024596099427,"29",Nysa-Scythopolis
35.6161678314604,32.4476091668468,"30",Pella
35.9391665997272,31.9522067004062,"31",Philadelphia
34.7506244659013,32.0526313931249,"32",Joppe
35.1874321787244,32.5759297718484,"33",Legio
