"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"274","EDCS-42500100","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"[Imp(eratori)] Caes(ari) / [C(aio) Aur(elio)] Va[l(erio)] / [Diocletiano(?)","Imperatori Caesari Caio Aurelio Valerio Diocletiano",NA,32.5191381,36.4805732,"lapis"
"275","EDCS-42500101","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"] / XX","XX",NA,32.5191381,36.4805732,"lapis"
"276","EDCS-42500102","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"M(arco) Va]ler[io 3] / [3 Maxi]mian[o] / [3 Pi]o Felic[i] A[ug(usto) // ]A[1]A[3]O[3] / [3]HA[3]O[3] / [3]I co(n)s(uli?) // ]CL[3] / [3]HE[3] / [3]PR[3] / [3]HOB[3] / [3]T[","Marco Valerio Maximiano Pio Felici Augusto A A O HA O I consuli CL HE PR HOB T",NA,32.5191381,36.4805732,"lapis"
"277","EDCS-42500103","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"] sub [","sub",NA,32.5191381,36.4805732,"lapis"
"278","EDCS-42500106","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"]LF[3] / [6] //","LF","GR",32.5191381,36.4805732,"lapis"
"279","EDCS-42500109","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"Imp(eratori) a[e]sa[ri","Imperatori aesari",NA,32.5191381,36.4805732,"lapis"
"280","EDCS-42500110","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"Imp(eratori) Caes(ari) / [","Imperatori Caesari",NA,32.5191381,36.4805732,"lapis"
"281","EDCS-42500111","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"] / XVII //","XVII","GR",32.5191381,36.4805732,"lapis"
"282","EDCS-42500112","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"LIAV[3] / OS[3] / IAR[3] / PP[","LIAV OS IAR PP",NA,32.5191381,36.4805732,"lapis"
"283","EDCS-73600088","Arabia","Busra / Bostra",NA,162,"miliaria","tituli sacri",NA,"to 162;   b:  181 to 181         

 
 
Imp(erator) Caesar M(arcus) Aurelius Antoninus Aug(ustus) Pius pontifex max(imus) trib(unicia) potest(ate) XVI co(n)s(ul) III et Imp(erator) Caesar L(ucius) Aurelius Verus Aug(ustus) trib(unicia) potest(ate) II co(n)s(ul) II divi Antonini filii divi Hadriani nepotes divi Traiani Parthici pronepotes refecerunt per P(ublium) Iulium Geminium Marcianum leg(atum) Augustorum pr(o) pr(aetore) [ // Imp(erator) Caesar Co[m]modus Antoninus [Aug(ustus)] pont(ifex) max(imus) trib(unicia) pot(estate) [VI] co(n)s(ul) III p(ater) p(atriae) ref[ecit] p[e]r [Fl(avium) Iul]ium Fr[o]ntonem [leg(atum)] Aug(usti) pr(o) pr(aetore) p(assuum) m(ilia) XXV","Imperator Caesar Marcus Aurelius Antoninus Augustus Pius pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini filii divi Hadriani nepotes divi Traiani Parthici pronepotes refecerunt per Publium Iulium Geminium Marcianum legatum Augustorum pro praetore Imperator Caesar Commodus Antoninus Augustus pontifex maximus tribunicia potestate VI consul III pater patriae refecit per Flavium Iulium Frontonem legatum Augusti pro praetore passuum milia XXV",NA,32.5191381,36.4805732,"lapis"
"284","EDCS-73600062","Arabia","Busra / Bostra",194,194,"miliaria",NA,NA,"per 3]num [leg(atum) A]ug(usti) pr(o) pr(aetore) [m(ilia) p(assuum)] XIIII //","per num legatum Augusti pro praetore milia passuum XIIII","GR",32.5191381,36.4805732,"lapis"
"285","EDCS-73600040","Arabia","Busra / Bostra",NA,NA,"miliaria",NA,NA,"?","",NA,32.5191381,36.4805732,"lapis"
