"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"1","EDCS-03300877","Arabia","?",112,112,"miliaria","tituli operum","tituli sacri","Imp(erator) Caesar / divi Nervae f(ilius) Nerva / Traianus [Aug(ustus) Germ(anicus)] / Dacicus [pont(ifex) max(imus)] / trib(unicia) po[t(estate) XVI imp(erator) VI] / co(n)s(ul) VI [p(ater) p(atriae) redacta in] / form[am provinciae] / Ar[abia viam novam] / a [finibus Syriae] / usq[ue] a[d mare Rubrum] / aper[uit et stravit per C(aium)] / C[laudium Severum]","Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVI imperator VI consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare Rubrum aperuit et stravit per Caium Claudium Severum",NA,NA,NA,"lapis"
"2","EDCS-73600305","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,"?","",NA,NA,NA,"lapis"
"3","EDCS-73600306","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,"?","",NA,NA,NA,"lapis"
"4","EDCS-73600307","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,"?","",NA,NA,NA,"lapis"
"5","EDCS-31800331","Arabia","Ajloun",NA,NA,"miliaria",NA,NA,"] I /","I","GR",32.3323294,35.7520522,"lapis"
"6","EDCS-30100051","Arabia","Ajloun",162,162,"miliaria","tituli sacri",NA,"XII / Imp(erator) Caesar / M(arcus) Aurelius Antoninus / Aug(ustus) p(ontifex) m(aximus) trib(unicia) pot(estate) XVI / co(n)s(ul) III et / Imp(erator) Caesar L(ucius) Au[r]elius / Verus Aug(ustus) t[rib(unicia) pot(estate) II c]o(n)s(ul) II / divi Anton[ini Pii filii divi] / Hadriani nepotes divi / [T]raiani Parthici / pronepotes divi N[e]rvae / [a]bnepotes refecer[unt] / per Geminium Marci[anum] / leg(atum) pr(o) pr(aetore) //","XII Imperator Caesar Marcus Aurelius Antoninus Augustus pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini Pii filii divi Hadriani nepotes divi Traiani Parthici pronepotes divi Nervae abnepotes refecerunt per Geminium Marcianum legatum pro praetore","GR",32.3323294,35.7520522,"lapis"
"7","EDCS-48001031","Arabia","Al-Qihati / El-Qihati",NA,NA,"miliaria",NA,NA,"?","",NA,32.183333,36.316667,"lapis"
"8","EDCS-48001030","Arabia","Al-Qihati / El-Qihati",NA,NA,"miliaria",NA,NA,"?","",NA,32.183333,36.316667,"lapis"
"9","EDCS-77400147","Arabia","Amman / Philadelphia",193,194,"miliaria",NA,NA,"[Imp(erator) Cae]sar / [L(ucius) Septimius S]everus / Pertin[ax] Aug(ustus) / trib(unicia) potest(ate) II / imp(erator) IV co(n)s(ul) II / per Ael(ium) Severian(um) / Maximum fec(it) / X","Imperator Caesar Lucius Septimius Severus Pertinax Augustus tribunicia potestate II imperator IV consul II per Aelium Severianum Maximum fecit X",NA,31.9515694,35.9239625,"lapis"
"10","EDCS-31700020","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"[Imp(erator) Caes(ar) M(arcus) Aurelius] / [Seve]rus Antoninus / Felix Aug(ustus) Parthicus / max(imus) Britan(n)icus / maximus trib(unicia) pot(estate) XVI / imp(erator) II co(n)s(ul) III desig(natus) co(n)s(ul) / per Furium Severianu[m] / leg(atum) Aug(usti) pr(o) pr(aetore) co(n)s(ulem) desig(natum)","Imperator Caesar Marcus Aurelius Severus Antoninus Felix Augustus Parthicus maximus Britannicus maximus tribunicia potestate XVI imperator II consul III designatus consul per Furium Severianum legatum Augusti pro praetore consulem designatum",NA,31.9515694,35.9239625,"lapis"
"11","EDCS-16900081","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"Imp(erator) Caes(ar) Marcu[s] / Aurelius Sev[erus] / Antoninus [Pius] / Felix Aug(ustus) Pa[rthi]/cus maximu[s Bri]/tan(n)icus max[imus] / [po]nt(ifex) max[imus] / [trib(unicia) pot(estate)] XVII [imp(erator)] II [co(n)s(ul)] IIII [p(ater) p(atriae)] / per Furnium Iulianum / [leg(atum) Aug(usti) pr(o) pr(aetore)] / [","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator II consul IIII pater patriae per Furnium Iulianum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"12","EDCS-16900083","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"Imp(erator) C[aes(ar)] / M(arcus) Aurelius [Antoninus] / P(ius) F(elix) Aug(ustus) [pont(ifex)] / maximus trib(unicia) [p(otestate)] / co(n)s(ul) III [p(ater) p(atriae) proco(n)s(ul)] / [per Flavium Iulianum] / [leg(atum) Aug(usti) pr(o) pr(aetore)] / [","Imperator Caesar Marcus Aurelius Antoninus Pius Felix Augustus pontifex maximus tribunicia potestate consul III pater patriae proconsul per Flavium Iulianum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"13","EDCS-16800270","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"Imp(erator) Caes(ar) Marc(us) / Aurelius Se[verus A]ntoninus / Pius Felix [Aug(ustus) Par]thicus / Britannicus max(imus) pontifex / max(imus) trib(unicia) [pot(estate) 3 i]mp(erator) II / co(n)s(ul) III p(ater) [p(atriae)] / per Furium [Severianum leg(atum)] / [Aug(usti) pr(o) pr(aetore)","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus Britannicus maximus pontifex maximus tribunicia potestate imperator II consul III pater patriae per Furium Severianum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"14","EDCS-31400571","Arabia","Amman / Philadelphia",NA,193,"miliaria",NA,NA,"to 193;   b:  305 to 306         

 
 
[Imp(erator) Caesar] / [P(ublius) Helvius Pertinax] / [Aug(ustus) prince]ps senat[us] / [consul iterum] / [p]o[nt(ifex)] m[aximus] / [t]r[ibunicia potestate] / et Caesar [P(ublius) Helv]ius Per/tinax f[i]lius [pr]inceps / iuven[tutis] per P(ublium) Ael(ium) / Severia[num] Max/[i]mum [leg(atum) Aug(usti)] pr(o) pr(aetore) // [DD(ominis) nn(ostris)] / [C(aio) Aur(elio) Val(erio) Diocletiano et] / M(arco) Aur(elio) [Val(erio) Maximiano] / patri[b(us) A]ug[g(ustorum) et Impp(eratoribus)] / [C]aess(aribus) [Fl(avio) Val(erio) Constantio] / et Gal(erio) Val(erio) Maximiano / PP(iis) FF(elicibus) Invictis Augg(ustis) et / Fl(avio) Val(erio) Severo et / Maximino nobb(ilissimis) Caess(aribus)","Imperator Caesar Publius Helvius Pertinax Augustus princeps senatus consul iterum pontifex maximus tribunicia potestate et Caesar Publius Helvius Pertinax filius princeps iuventutis per Publium Aelium Severianum Maximum legatum Augusti pro praetore DDominis nnostris Caio Aurelio Valerio Diocletiano et Marco Aurelio Valerio Maximiano patribus Auggustorum et Impperatoribus Caessaribus Flavio Valerio Constantio et Galerio Valerio Maximiano PPiis FFelicibus Invictis Auggustis et Flavio Valerio Severo et Maximino nobbilissimis Caessaribus",NA,31.9515694,35.9239625,"lapis"
"15","EDCS-31400572","Arabia","Amman / Philadelphia",214,214,"miliaria",NA,NA,"Imp(erator) Caes(ar) Marcu[s] / Aurelius Sev[erus] / Antoninus [Pius] / Felix Aug(ustus) Pa[rthi]/cus maximus [Bri]/tan(n)icus max[imus] / [p]ont(ifex) max[imus] / [","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus",NA,31.9515694,35.9239625,"lapis"
"16","EDCS-31400574","Arabia","Amman / Philadelphia",181,181,"miliaria","tituli sacri",NA,"Imp(erator) Caesar / [M(arcus)] Aurelius [Commodus] / [An]toninus Aug(ustus) Germanic[us] / [Sarm]aticus divi [Anto]nini f(ilius) / [ponti]fex max(imus) trib(unicia) pote[st(ate) VI] / co(n)s(ul) III p(ater) p(atriae) per / [Fl(avium) Iu]lium Fronton[em] / [leg(atum)] Aug(usti) pr(o) pr(aetore) // GR","Imperator Caesar Marcus Aurelius Commodus Antoninus Augustus Germanicus Sarmaticus divi Antonini filius pontifex maximus tribunicia potestate VI consul III pater patriae per Flavium Iulium Frontonem legatum Augusti pro praetore GR",NA,31.9515694,35.9239625,"lapis"
"17","EDCS-31400575","Arabia","Amman / Philadelphia",162,162,"miliaria","tituli sacri",NA,"[Imp(erator)] C[aesar] / M(arcus) Aurelius [Antoninus] / Augustus [pontifex] / maximus trib(unicia) [pot(estate) XVI] / co(n)s(ul) III et [Imp(erator)] / Caesar L(ucius) Aureli[us] / [V]erus Augustus tr[ib(unicia)] / [p]otest(ate) II co(n)s(ul) II divi / Antonini fili(i) divi / Hadriani nepotes / [","Imperator Caesar Marcus Aurelius Antoninus Augustus pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini filii divi Hadriani nepotes",NA,31.9515694,35.9239625,"lapis"
"18","EDCS-31400576","Arabia","Amman / Philadelphia",114,114,"miliaria","tituli operum","tituli sacri","Imp(erator) C[a]esar / divi Nerv[ae f(ilius) Nerva] / Tr[aianus Optimus Aug(ustus)] / Ger[manicus Dacicus] / [po]n[t(ifex) max(imus) trib(unicia)] / [p]ot(estate) XV[III imp(erator) VII co(n)s(ul) VI] / [p(ater)] p(atriae) r[e]dac[ta in formam] / provi[nciae Arabia viam] / [novam a finibus Syriae] / [usque ad mare rubrum] / ap[eruit et stravit per] / C(aium) Cl[audium Severum] / [leg(atum) Aug(usti) pr(o) pr(aetore)]","Imperator Caesar divi Nervae filius Nerva Traianus Optimus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVIII imperator VII consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"19","EDCS-29900180","Arabia","Amman / Philadelphia",114,114,"miliaria",NA,NA,"Im[p(erator) Caes(ar)] / [3]ai[3] / Traian[us 3] / Piu[s Felix Aug(ustus) pont(ifex)] / maxim[us","Imperator Caesar ai Traianus Pius Felix Augustus pontifex maximus",NA,31.9515694,35.9239625,"lapis"
"20","EDCS-30000323","Arabia","Amman / Philadelphia",306,307,"miliaria",NA,NA,"] / Valerio [3] / nobil[is(simo) Caes(ari) 3] / Val(erius) Constantin(us) [3] / m(ilia) p(assuum) / III //","Valerio nobilissimo Caesari Valerius Constantinus milia passuum III","GR",31.9515694,35.9239625,"lapis"
"21","EDCS-31800311","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"[Imp(erator) Caes(ar) M(arcus) [","Imperator Caesar Marcus",NA,31.9515694,35.9239625,"lapis"
"22","EDCS-30000324","Arabia","Amman / Philadelphia",129,129,"miliaria","tituli sacri",NA,"[Imp(erator)] / Ca[es(ar) divi Traiani] / Par[thici filiu]s / divi [Nervae nep]os / Traian[us Hadrian]us [Aug(ustus)] / po[nt(ifex) max(imus)","Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Traianus Hadrianus Augustus pontifex maximus",NA,31.9515694,35.9239625,"lapis"
"23","EDCS-31800312","Arabia","Amman / Philadelphia",193,193,"miliaria",NA,NA,"Imp(erator) Caesar P(ublius) H/elvius Pertinax / Aug(ustus) princeps se/natus co(n)s(ul) II pont/iex maximus t(r)i{v}/buniciae potestatis / et Caesar P(ublius) Hel(vius) Per/tinax filius pri[nceps] / [iuven]tutis p[er P(ublium) Aelium] / [Severianum Maximum] / [leg(atum) Aug(usti) pr(o) pr(aetore)]","Imperator Caesar Publius Helvius Pertinax Augustus princeps senatus consul II pontiex maximus tribuniciae potestatis et Caesar Publius Helvius Pertinax filius princeps iuventutis per Publium Aelium Severianum Maximum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"24","EDCS-31800313","Arabia","Amman / Philadelphia",194,194,"miliaria",NA,NA,"Imp(erator) C[aes(ar) L(ucius)] / Septimius S[everus] / Pertinax [Aug(ustus) p(ater) p(atriae)] / trib(unicia) pote[st(ate) II] / imp(erator) IV c[o(n)s(ul) II // per Aelium Severianum M]aximum / VI //","Imperator Caesar Lucius Septimius Severus Pertinax Augustus pater patriae tribunicia potestate II imperator IV consul II per Aelium Severianum Maximum VI","GR",31.9515694,35.9239625,"lapis"
"25","EDCS-31800314","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,"Imp(erator) Caesar M[arc(us)] / Au(elius) Antoninus Pius / Felix Aug(ustus) Parthicus / maximus Brt{t}an(n)icus / maximus pontifex / maximus trib(unicia) pot(estate) XVI / imp(erator) II co(n)s(ul) IIII [pro]co(n)s(ul) / per Furniu[m I]ulianu[m] / leg(atum) Aug(usti) [pr(o) pr(aetore)] co(n)s(ulem) desig(natum)","Imperator Caesar Marcus Auelius Antoninus Pius Felix Augustus Parthicus maximus Brtannicus maximus pontifex maximus tribunicia potestate XVI imperator II consul IIII proconsul per Furnium Iulianum legatum Augusti pro praetore consulem designatum",NA,31.9515694,35.9239625,"lapis"
"26","EDCS-31800315","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,"Imp(erator) Caes(ar) Marc(us) / Aurelius Se[verus] Antoninus / Pius Felix [Aug(ustus) Par]thicus max(imus) / Britannicus max(imus) pontifex / max(imus) trib(unicia) [pot(estate) XVI] imp(erator) II / co(n)s(ul) III[I proco(n)]s(ul) / per Furnium [Iulianum","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVI imperator II consul IIII proconsul per Furnium Iulianum",NA,31.9515694,35.9239625,"lapis"
"27","EDCS-30000325","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,"Imp(erator) Caes(ar) Ma[rcus] / Aurelius Severus Anto[ninus] / Pius Felix Aug(ustus) Parthicus max(imus) / Britannicus maximus pontifex / max(imus) [trib(unicia)] pot(estate) XVI imp(erator) II / co(n)s(ul) III[I proco(n)]s(ul) / per Furnium [Iulianum] / [leg(atum) Aug(usti) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) mil(ia) [p(assuum)] VIII","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVI imperator II consul IIII proconsul per Furnium Iulianum legatum Augusti pro praetore consulem designatum milia passuum VIII",NA,31.9515694,35.9239625,"lapis"
"28","EDCS-73600362","Arabia","Amman / Philadelphia",194,194,"miliaria",NA,NA,"Imp(erator) Caesar / L(ucius) Septimius Severus / Pertinax Aug(ustus) p(ontifex) m(aximus) / trib(unicia) potest(ate) III / p(ater) p(atriae) imp(erator) IV co(n)s(ul) II / per Ael(ium) Severianum / Maximum IX","Imperator Caesar Lucius Septimius Severus Pertinax Augustus pontifex maximus tribunicia potestate III pater patriae imperator IV consul II per Aelium Severianum Maximum IX",NA,31.9515694,35.9239625,"lapis"
"29","EDCS-31800316","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,"Imp(erator) Caes(ar) Marcus / Aurelius Severus / [Antonin]us Pius / [Felix] Aug(ustus) Parthicus max(imus) / [Brit]annicus maximus / [pon]tifex maximus / [trib(unicia) pot(estate) XII] imp(erator) I[3] / [co(n)s(ul)] proco(n)s(ul) / [per Furnium Iul]ianum / [leg(atum) Aug(usti)] pr(o) pr(aetore) co(n)s(ulem) des(ignatum) / VIIII","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XII imperator I consul proconsul per Furnium Iulianum legatum Augusti pro praetore consulem designatum VIIII",NA,31.9515694,35.9239625,"lapis"
"30","EDCS-30000326","Arabia","Amman / Philadelphia",162,162,"miliaria",NA,NA,"] / refecerunt per P(ublium) Iul(ium) / Geminium Marcia/num leg(atum) Aug(usti) pr(o) pr(aetore) / XIII //","refecerunt per Publium Iulium Geminium Marcianum legatum Augusti pro praetore XIII","GR",31.9515694,35.9239625,"lapis"
"31","EDCS-31800318","Arabia","Amman / Philadelphia",181,181,"miliaria","tituli sacri",NA,"Imp(eratori) Caes(ari) / divi M(arci) fil(io) divi Pii / nepoti divi Hadri/ani pronep(oti) M(arco) Aur(elio) / [[3]] Anto/[nino","Imperatori Caesari divi Marci filio divi Pii nepoti divi Hadriani pronepoti Marco Aurelio Antonino",NA,31.9515694,35.9239625,"lapis"
"32","EDCS-31500372","Arabia","Amman / Philadelphia",194,194,"miliaria",NA,NA,"[Imp(erator) Cae]sar / [L(ucius) S]e[ptimius S]everus / [P]erti[nax] Au[g(ustus) p(ontifex) m(aximus)] / trib(unicia) potest(ate) II[I] / [p(ater) p(atriae)] imp(erator) IV co(n)s(ul) I[I] / per Ae[l(ium)] Severia[num] / Maximum [l]e[g(atum)","Imperator Caesar Lucius Septimius Severus Pertinax Augustus pontifex maximus tribunicia potestate III pater patriae imperator IV consul II per Aelium Severianum Maximum legatum",NA,31.9515694,35.9239625,"lapis"
"33","EDCS-30000328","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,"Imp(erator) Caes(ar) M(arcus) / Aurelius Severus / Antoninus Pius Felix / Parthicus max(imus) / Britannicus maxim(us) / pontifex maximus / trib(unicia) pot(estate) XVI [imp(erator) II] / co(n)s(ul) IIII p[roco(n)s(ul)] / per Furniu[m Iulianum] / leg(atum) Aug(usti) pr(o) pr(aetore) [co(n)s(ulem) d]es(ignatum) / mil(ia) X","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVI imperator II consul IIII proconsul per Furnium Iulianum legatum Augusti pro praetore consulem designatum milia X",NA,31.9515694,35.9239625,"lapis"
"34","EDCS-73600090","Arabia","Amman / Philadelphia",114,114,"miliaria","tituli operum",NA,"] a finib[u]s Syr[iae] usque ad mare [rubrum aperuit et] stravit [per C(aium) Claud]ium Severum [leg(atum)] Aug(usti) pro pr(aetore) [m(ilia) p(assuum)] CLXXXII","a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore milia passuum CLXXXII",NA,31.9515694,35.9239625,"lapis"
"35","EDCS-73600091","Arabia","Amman / Philadelphia",193,193,"miliaria",NA,NA,"Imp(erator) Caes[ar P(ublius) Helvius] Pertinax [3] Caesar [","Imperator Caesar Publius Helvius Pertinax Caesar",NA,31.9515694,35.9239625,"lapis"
"36","EDCS-73600092","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"37","EDCS-73600093","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"38","EDCS-73600096","Arabia","Amman / Philadelphia",NA,162,"miliaria","tituli sacri",NA,"to 162;   b:  292 to 305         

 
 
Imp(erator) Caesar M(arcus) Aurelius Antoninus Aug(ustus) Pius pontifex max(imus) trib(unicia) potest(ate) XVI co(n)s(ul) III et Imp(erator) Caesar L(ucius) Aurelius Verus Aug(ustus) trib(unicia) potest(ate) II co(n)s(ul) II divi Antonini filii divi Hadriani nepotes divi Traiani Parthici pronepotes refecerunt per P(ublium) Iulium Geminium Marcianum leg(atum) Augustorum pr(o) pr(aetore) // ] Val(erio) Con[stantio 3] nob(ilissimis) Caes(aribus)","Imperator Caesar Marcus Aurelius Antoninus Augustus Pius pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini filii divi Hadriani nepotes divi Traiani Parthici pronepotes refecerunt per Publium Iulium Geminium Marcianum legatum Augustorum pro praetore Valerio Constantio nobilissimis Caesaribus",NA,31.9515694,35.9239625,"lapis"
"39","EDCS-73600097","Arabia","Amman / Philadelphia",NA,181,"miliaria",NA,NA,"to 181;   b:  193 to 193         

 
 
Imp(erator) Caesar Commodus Antoninus Aug(ustus) pont(ifex) max(imus) trib(unicia) pot(estate) VI co(n)s(ul) III p(ater) p(atriae) refecit per Fl(avium) Iulium Frontonem leg(atum) Aug(usti) pr(o) pr(aetore) XXVI //  // Imp(erator) Caesar P(ublius) Helvius Pertinax Aug(ustus) princep[s senatus co(n)s(ul) iterum pontifex maximus tribunicia{e} potestas(!) p(ater) p(atriae) et Caesar Lucius(!) Helvius filius princeps iuventutis per P(ublium) Aelium Severianu(m) Maximum leg(atum) Aug(usti) pro praetorem","Imperator Caesar Commodus Antoninus Augustus pontifex maximus tribunicia potestate VI consul III pater patriae refecit per Flavium Iulium Frontonem legatum Augusti pro praetore XXVI Imperator Caesar Publius Helvius Pertinax Augustus princeps senatus consul iterum pontifex maximus tribunicia potestas pater patriae et Caesar Lucius Helvius filius princeps iuventutis per Publium Aelium Severianum Maximum legatum Augusti pro praetorem","GR",31.9515694,35.9239625,"lapis"
"40","EDCS-73600098","Arabia","Amman / Philadelphia",214,214,"miliaria",NA,NA,"Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) XXVI //","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum XXVI","GR",31.9515694,35.9239625,"lapis"
"41","EDCS-73600099","Arabia","Amman / Philadelphia",235,235,"miliaria",NA,NA,"Imp(eratori) Caesari Gaio Iul[io Max]imino [P]io Felici Aug(usto) [sub] Simoni[o Iulian]o leg(ato) A[ug(usti) pr(o) pr(aetore)] co(n)s(ule) des(ignato) [a] Bost[ra m(ilia) p(assuum)] XXVI //","Imperatori Caesari Gaio Iulio Maximino Pio Felici Augusto sub Simonio Iuliano legato Augusti pro praetore consule designato a Bostra milia passuum XXVI","GR",31.9515694,35.9239625,"lapis"
"42","EDCS-73600094","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"43","EDCS-73600095","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"44","EDCS-73600100","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"45","EDCS-73600101","Arabia","Amman / Philadelphia",114,114,"miliaria","tituli operum","tituli sacri","Imp(erator) Caesar divi Nervae fil(ius) Nerva Traianus Aug(ustus) Germanicus Dacicus pont(ifex) maximus trib(unicia) pot(estate) XVIII imp(erator) VII co(n)s(ul) VI p(ater) p(atriae) redacta in formam provinciae Arabia viam novam a finibus Syriae usque ad mare rubrum aperuit et stravit per C(aium) Claudium Severum leg(atum) Aug(usti) pro pr(aetore)","Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVIII imperator VII consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"46","EDCS-73600102","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"47","EDCS-73600103","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"48","EDCS-73600104","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"49","EDCS-73600105","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"50","EDCS-73600106","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"51","EDCS-73600107","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"52","EDCS-73600108","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"53","EDCS-73600109","Arabia","Amman / Philadelphia",162,162,"miliaria",NA,NA,"] Marcia[num","Marcianum",NA,31.9515694,35.9239625,"lapis"
"54","EDCS-73600110","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"55","EDCS-73600111","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"56","EDCS-73600112","Arabia","Amman / Philadelphia",214,214,"miliaria",NA,NA,"Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum)","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum",NA,31.9515694,35.9239625,"lapis"
"57","EDCS-73600113","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"58","EDCS-73600114","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"59","EDCS-73600115","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"60","EDCS-73600116","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"61","EDCS-73600117","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"62","EDCS-73600118","Arabia","Amman / Philadelphia",214,214,"miliaria",NA,NA,"Imp(erator) Caes(ar) M(arcus) Aurelius Severus Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britan(n)icus max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII imperator III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) per Furnium Iulianum leg(atum) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) X[XXV] //","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator III consul IIII pater patriae proconsul per Furnium Iulianum legatum pro praetore consulem designatum XXXV","GR",31.9515694,35.9239625,"lapis"
